brand,n_buyers,n_checks,total_amount,total_qty
almette,26650,335981,55714198.08,370169.0
no_brand,24715,208123,30789220.82643,225352.814
hochland,23730,177403,34490914.63816,201749.646
president,20210,108821,15089940.77786,116874.75
sveza,11992,72876,8885433.21,83965.0
ekomilk,9784,53826,13182083.06,64392.75
viola,9196,27782,3565264.85,30371.0
schonfeld,7636,20106,2637991.36,20991.0
violette,4858,22353,4820953.79,29410.694
syrobogatov,2774,6230,706719.99,6551.0
bonfesto,2159,3322,615205.62,3544.0
molochnaya_kultura,1958,3242,520393.48,3501.0
savushkin,1678,5957,765144.08,7592.0
pretto,1435,2878,427004.76,3250.0
sernur,1253,4948,616870.68,5282.0
cremeitali,511,3439,379189.76,3598.0
valio,190,324,32869.51,378.0
unagrande,161,282,77477.84,334.0
philadelphia,117,297,42982.68457,339.792
store_brand,117,254,31929.88,355.0
cremette,15,39,18187.91,45.0
selo_zelenoe,14,14,2608.83,14.0
karat_other,11,18,2578.64,34.0
