brand,n_buyers,n_checks,n_rows,total_amount,total_qty,buyer_share_of_violette_base,violette_buyer_base
hochland,3999,33162,34715,7177494.42906,39720.65,0.8231782626595306,4858
almette,3050,22413,23599,3700339.2,26375.0,0.6278303828736106,4858
president,2467,10710,11082,1401311.21766,12376.552,0.5078221490325237,4858
ekomilk,2362,18619,18637,5219900.46,24054.75,0.4862083161794977,4858
sveza,2359,16299,17189,1967040.65,19715.0,0.48559077809798273,4858
viola,1452,3923,4107,488791.69,4667.0,0.29888843145327293,4858
savushkin,848,3332,3372,363818.82,3900.0,0.1745574310415809,4858
schonfeld,609,1249,1257,152462.0,1346.0,0.12536023054755044,4858
pretto,490,1128,1190,160675.43,1331.0,0.10086455331412104,4858
bonfesto,423,897,958,178527.82,1057.0,0.08707286949361877,4858
syrobogatov,420,956,975,98500.29,1056.0,0.08645533141210375,4858
molochnaya_kultura,373,716,769,88382.73,808.0,0.07678056813503499,4858
valio,139,245,249,25198.379999999997,285.0,0.028612597776862907,4858
store_brand,75,147,152,16114.98,201.0,0.01543845203787567,4858
sernur,59,213,215,26860.77,227.0,0.01214491560312886,4858
philadelphia,55,130,138,14641.99637,150.754,0.011321531494442157,4858
unagrande,47,70,70,19069.01,82.0,0.009674763277068753,4858
cremeitali,23,125,125,11974.9,133.0,0.004734458624948539,4858
karat_other,8,14,14,2063.71,28.0,0.0016467682173734047,4858
cremette,6,15,15,8798.09,18.0,0.0012350761630300535,4858
selo_zelenoe,1,1,1,114.0,1.0,0.0002058460271716756,4858
