buyer_id,median_gap_days,mean_gap_days,n_gaps,frequency_segment
1000220,8.0,78.57142857142857,7,high_freq
1001216,719.0,719.0,1,rare
1002522,0.0,0.0,1,high_freq
1002895,3.0,3.0,1,high_freq
1003189,4.0,38.64,25,high_freq
100336,67.0,128.0,5,rare
1003497,14.0,279.3333333333333,3,high_freq
1004122,33.5,33.5,2,low_freq
1005153,0.0,0.0,1,high_freq
1006008,38.0,92.0,3,low_freq
1007011,111.0,135.6,5,rare
1007819,406.0,406.0,2,rare
1008120,18.0,55.111111111111114,18,monthly_like
100861,25.0,30.0,6,monthly_like
1008738,3.5,3.5454545454545454,22,high_freq
1009488,16.0,22.6,5,monthly_like
1009510,11.0,9.0,5,high_freq
1009530,28.0,34.53846153846154,13,monthly_like
1009676,22.0,22.0,1,monthly_like
1009952,16.5,22.25,4,monthly_like
1010411,5.0,10.64,25,high_freq
1010558,268.0,268.0,1,rare
1011121,108.5,129.83333333333334,6,rare
1013168,45.0,95.4,5,low_freq
1014247,41.0,59.0,5,low_freq
1015144,73.5,118.5,8,rare
101619,7.5,28.27777777777778,18,high_freq
101714,13.0,72.33333333333333,3,high_freq
1018239,15.0,15.0,1,monthly_like
1018547,0.0,0.0,1,high_freq
1019227,27.0,135.0,3,monthly_like
1020232,12.0,17.8,5,high_freq
1020407,192.0,192.0,1,rare
1022326,4.0,5.888888888888889,18,high_freq
1023038,0.0,0.0,1,high_freq
1023211,0.0,0.0,1,high_freq
1023775,476.0,476.0,2,rare
1025125,36.5,40.75,4,low_freq
1025710,105.0,162.8,5,rare
1025819,6.0,6.0,1,high_freq
1027610,9.0,10.153846153846153,13,high_freq
1031032,10.0,17.25,4,high_freq
1032876,2.0,5.293103448275862,58,high_freq
1034728,205.5,235.75,4,rare
103509,32.0,32.0,2,low_freq
1036578,150.0,150.0,2,rare
1036862,6.0,51.333333333333336,3,high_freq
1037824,75.0,191.8,5,rare
1039632,13.0,36.2962962962963,27,high_freq
1039693,18.0,18.0,1,monthly_like
1039889,60.0,60.0,2,low_freq
1040491,2.0,5.0,16,high_freq
104140,14.0,14.0,1,high_freq
1041436,16.0,128.33333333333334,3,monthly_like
1041750,106.0,215.5,4,rare
1042465,48.0,80.8,5,low_freq
1043596,0.0,0.0,1,high_freq
1044415,27.0,26.5,4,monthly_like
1045729,20.5,27.714285714285715,14,monthly_like
1047394,0.0,9.0,3,high_freq
1047910,27.0,39.5,4,monthly_like
104847,2.0,2.0,1,high_freq
1048704,45.0,45.0,1,low_freq
1048885,11.0,18.8,10,high_freq
104921,39.0,39.0,1,low_freq
1052350,55.5,66.25,4,low_freq
1053291,41.0,30.333333333333332,3,low_freq
1053974,13.0,39.0,8,high_freq
1054874,917.0,917.0,1,rare
1055043,13.0,17.5,6,high_freq
1056021,49.0,208.2,5,low_freq
1056282,72.0,72.0,1,rare
1057487,0.0,0.0,1,high_freq
1058177,15.0,48.333333333333336,3,monthly_like
1058424,10.0,56.4,10,high_freq
1059950,341.0,341.0,2,rare
1060757,759.0,759.0,1,rare
1060962,76.5,76.5,2,rare
1061161,9.0,7.666666666666667,3,high_freq
1061310,12.0,12.0,1,high_freq
106161,20.0,61.57142857142857,7,monthly_like
1062390,95.0,95.0,1,rare
1062453,8.0,16.166666666666668,6,high_freq
1063148,28.0,28.0,1,monthly_like
106386,178.5,178.5,2,rare
106422,13.0,108.44444444444444,9,high_freq
106704,14.0,13.666666666666666,3,high_freq
1067420,45.0,45.0,1,low_freq
1067537,364.0,364.0,1,rare
1067712,23.0,36.88235294117647,17,monthly_like
1068149,19.0,23.692307692307693,13,monthly_like
1068155,13.5,29.833333333333332,12,high_freq
1068292,771.0,771.0,1,rare
1068884,22.0,24.666666666666668,3,monthly_like
1069889,9.0,29.666666666666668,3,high_freq
1070506,22.5,112.625,8,monthly_like
1070707,37.0,37.0,2,low_freq
1072107,48.0,48.0,1,low_freq
1074606,29.0,29.0,2,monthly_like
1075612,43.0,43.0,2,low_freq
1076315,45.0,45.0,2,low_freq
1076736,58.0,58.0,1,low_freq
1077047,52.0,83.83333333333333,12,low_freq
1077630,82.0,271.6666666666667,3,rare
1077737,29.0,32.0,7,monthly_like
1077815,3.0,85.4,5,high_freq
1078349,98.0,98.0,1,rare
1078502,17.0,43.22222222222222,9,monthly_like
1078562,3.0,8.166666666666666,6,high_freq
