year_month,brand,n_buyers
2023-01,hochland,691
2023-01,almette,279
2023-01,viola,176
2023-01,president,171
2023-01,ekomilk,91
2023-01,savushkin,49
2023-01,sveza,43
2023-01,syrobogatov,36
2023-01,bonfesto,33
2023-01,store_brand,21
2023-01,philadelphia,10
2023-01,pretto,5
2023-01,schonfeld,4
2023-01,unagrande,3
2023-01,valio,3
2023-01,cremeitali,1
2023-01,sernur,1
2023-02,hochland,857
2023-02,almette,582
2023-02,president,280
2023-02,viola,167
2023-02,ekomilk,158
2023-02,sveza,65
2023-02,bonfesto,62
2023-02,savushkin,61
2023-02,syrobogatov,34
2023-02,store_brand,14
2023-02,valio,8
2023-02,unagrande,7
2023-02,pretto,7
2023-02,philadelphia,3
2023-02,schonfeld,3
2023-02,sernur,3
2023-02,karat_other,1
2023-02,cremeitali,1
2023-02,molochnaya_kultura,1
2023-02,cremette,1
2023-03,hochland,938
2023-03,almette,584
2023-03,president,327
2023-03,ekomilk,195
2023-03,viola,178
2023-03,sveza,74
2023-03,savushkin,65
2023-03,bonfesto,64
2023-03,syrobogatov,40
2023-03,store_brand,17
2023-03,philadelphia,9
2023-03,pretto,9
2023-03,cremeitali,6
2023-03,unagrande,6
2023-03,valio,4
2023-03,molochnaya_kultura,3
2023-03,schonfeld,1
2023-03,karat_other,1
2023-04,hochland,785
2023-04,almette,509
2023-04,president,278
2023-04,ekomilk,266
2023-04,viola,182
2023-04,sveza,66
2023-04,savushkin,60
2023-04,bonfesto,59
2023-04,syrobogatov,42
2023-04,store_brand,19
2023-04,valio,11
2023-04,philadelphia,7
2023-04,pretto,5
2023-04,sernur,3
2023-04,molochnaya_kultura,3
2023-04,karat_other,2
2023-04,unagrande,2
2023-04,schonfeld,2
2023-04,cremeitali,2
2023-04,cremette,1
2023-05,hochland,998
2023-05,almette,538
2023-05,president,309
2023-05,ekomilk,225
2023-05,viola,225
2023-05,sveza,105
2023-05,savushkin,60
2023-05,bonfesto,37
2023-05,syrobogatov,35
2023-05,store_brand,15
2023-05,philadelphia,14
2023-05,pretto,8
2023-05,valio,6
2023-05,cremeitali,4
2023-05,sernur,3
2023-05,karat_other,2
2023-05,molochnaya_kultura,1
2023-05,cremette,1
2023-05,unagrande,1
2023-06,hochland,778
2023-06,almette,441
2023-06,ekomilk,216
2023-06,president,201
2023-06,viola,144
2023-06,sveza,112
2023-06,savushkin,65
2023-06,syrobogatov,40
2023-06,pretto,7
2023-06,schonfeld,7
2023-06,cremeitali,5
2023-06,philadelphia,5
2023-06,valio,4
2023-06,sernur,3
2023-06,store_brand,2
2023-06,bonfesto,2
2023-06,unagrande,2
2023-06,karat_other,1
2023-06,cremette,1
2023-07,hochland,778
2023-07,almette,423
2023-07,ekomilk,241
2023-07,viola,212
2023-07,president,194
2023-07,sveza,123
2023-07,savushkin,50
2023-07,syrobogatov,38
2023-07,valio,9
2023-07,philadelphia,7
2023-07,store_brand,6
2023-07,cremeitali,5
2023-07,molochnaya_kultura,4
2023-07,schonfeld,4
2023-07,cremette,2
2023-07,unagrande,1
2023-07,bonfesto,1
2023-07,pretto,1
2023-07,karat_other,1
2023-08,hochland,655
2023-08,almette,408
2023-08,ekomilk,213
2023-08,viola,210
2023-08,president,188
2023-08,sveza,121
2023-08,savushkin,38
2023-08,syrobogatov,29
2023-08,valio,6
2023-08,store_brand,6
2023-08,bonfesto,5
2023-08,cremeitali,3
2023-08,philadelphia,2
2023-08,karat_other,1
2023-08,pretto,1
2023-08,sernur,1
2023-09,hochland,202
2023-09,almette,149
2023-09,ekomilk,90
2023-09,president,63
2023-09,viola,57
2023-09,sveza,43
2023-09,syrobogatov,9
2023-09,savushkin,6
2023-09,bonfesto,4
2023-09,valio,2
2023-09,cremeitali,2
2023-09,unagrande,1
2023-09,pretto,1
2023-11,hochland,3
2023-11,almette,2
2023-11,philadelphia,2
2023-11,ekomilk,1
2023-12,hochland,2
2023-12,ekomilk,2
2023-12,pretto,1
2023-12,almette,1
2023-12,president,1
2023-12,philadelphia,1
2024-01,almette,464
2024-01,hochland,416
2024-01,ekomilk,305
2024-01,sveza,241
2024-01,president,222
2024-01,viola,80
2024-01,syrobogatov,29
2024-01,pretto,24
2024-01,savushkin,24
2024-01,bonfesto,16
2024-01,sernur,4
2024-01,unagrande,4
2024-01,philadelphia,3
2024-01,cremeitali,3
2024-01,schonfeld,3
2024-01,cremette,2
2024-01,store_brand,2
2024-01,karat_other,1
2024-01,valio,1
2024-02,hochland,486
2024-02,almette,482
2024-02,ekomilk,329
2024-02,sveza,321
2024-02,schonfeld,179
2024-02,president,149
2024-02,viola,103
2024-02,pretto,56
2024-02,savushkin,52
2024-02,syrobogatov,18
2024-02,bonfesto,16
2024-02,valio,9
2024-02,unagrande,6
2024-02,sernur,3
2024-02,cremette,1
2024-02,cremeitali,1
2024-02,store_brand,1
2024-02,karat_other,1
2024-03,almette,520
2024-03,hochland,505
2024-03,ekomilk,330
2024-03,sveza,234
2024-03,schonfeld,116
2024-03,viola,115
2024-03,president,105
2024-03,syrobogatov,31
2024-03,pretto,29
2024-03,savushkin,21
2024-03,bonfesto,19
2024-03,valio,9
2024-03,cremeitali,5
2024-03,unagrande,5
2024-03,sernur,4
2024-03,philadelphia,1
2024-03,store_brand,1
2024-04,almette,522
2024-04,hochland,419
2024-04,sveza,274
2024-04,ekomilk,248
2024-04,president,225
2024-04,viola,112
2024-04,pretto,79
2024-04,savushkin,54
2024-04,schonfeld,41
2024-04,syrobogatov,40
2024-04,valio,19
2024-04,bonfesto,7
2024-04,sernur,5
2024-04,unagrande,4
2024-04,philadelphia,3
2024-04,cremeitali,2
2024-04,store_brand,1
2024-05,almette,467
2024-05,hochland,466
2024-05,sveza,291
2024-05,president,274
2024-05,ekomilk,263
2024-05,viola,108
2024-05,schonfeld,73
2024-05,savushkin,70
2024-05,pretto,39
2024-05,syrobogatov,28
2024-05,valio,13
2024-05,bonfesto,9
2024-05,sernur,6
2024-05,unagrande,5
2024-05,cremeitali,4
2024-05,philadelphia,3
2024-05,store_brand,3
2024-06,almette,453
2024-06,hochland,429
2024-06,sveza,313
2024-06,president,270
