pack_bucket,brand,n_buyers
large,ekomilk,2114
large,hochland,1442
large,bonfesto,197
large,pretto,68
large,sveza,51
large,savushkin,22
large,philadelphia,22
large,store_brand,8
large,cremette,6
large,unagrande,4
large,president,1
medium,hochland,3644
medium,almette,3048
medium,sveza,2351
medium,president,1812
medium,viola,1451
medium,savushkin,833
medium,schonfeld,609
medium,pretto,444
medium,syrobogatov,420
medium,bonfesto,168
medium,valio,139
medium,ekomilk,78
medium,sernur,59
medium,molochnaya_kultura,49
medium,unagrande,43
medium,store_brand,37
medium,philadelphia,32
medium,cremeitali,23
medium,karat_other,7
medium,selo_zelenoe,1
small,president,1351
small,ekomilk,390
small,molochnaya_kultura,328
small,bonfesto,107
small,store_brand,33
small,philadelphia,3
unknown,hochland,9
unknown,president,7
unknown,ekomilk,6
unknown,savushkin,3
unknown,bonfesto,3
unknown,almette,2
unknown,philadelphia,2
unknown,sveza,2
unknown,karat_other,1
unknown,molochnaya_kultura,1
unknown,viola,1
